기간,Brent
08년04월15일,111.31
08년04월16일,112.66
08년04월17일,112.43
08년04월18일,113.92
08년04월21일,114.43
08년04월22일,115.95
08년04월23일,116.46
08년04월24일,114.34
08년04월25일,116.34
08년04월28일,116.74
08년04월29일,113.43
08년04월30일,111.36
08년05월01일,110.5
08년05월02일,114.56
08년05월05일,117.99
08년05월06일,120.31
08년05월07일,122.32
08년05월08일,122.84
08년05월09일,125.4
08년05월12일,122.91
08년05월13일,124.1
08년05월14일,121.86
08년05월15일,121.25
08년05월16일,124.99
08년05월19일,125.06
08년05월20일,127.84
08년05월21일,132.7
08년05월22일,130.51
08년05월23일,131.57
08년05월24일,131.57
08년05월26일,132.37
08년05월27일,128.31
08년05월28일,130.93
08년05월29일,126.89
08년05월30일,127.78
08년06월02일,128.02
08년06월03일,124.58
08년06월04일,122.1
08년06월05일,127.54
08년06월06일,137.69
08년06월09일,133.91
08년06월10일,131.02
08년06월11일,135.02
08년06월12일,136.09
08년06월13일,134.25
08년06월16일,134.71
08년06월17일,133.72
08년06월18일,136.44
08년06월19일,132
08년06월20일,134.86
08년06월23일,135.91
08년06월24일,136.46
08년06월25일,134.33
08년06월26일,139.83
08년06월27일,140.31
08년06월30일,139.83
08년07월01일,140.67
08년07월02일,144.26
08년07월03일,146.08
08년07월04일,144.42
08년07월07일,141.87
08년07월08일,136.43
08년07월09일,136.58
08년07월10일,142.03
08년07월11일,144.49
08년07월14일,143.92
08년07월15일,138.75
08년07월16일,136.19
08년07월17일,131.07
08년07월18일,130.19
08년07월21일,132.61
08년07월22일,129.55
08년07월23일,125.29
08년07월24일,126.44
08년07월25일,124.52
08년07월28일,125.84
08년07월29일,122.71
08년07월30일,127.1
08년07월31일,123.98
08년08월01일,124.18
08년08월04일,120.68
08년08월05일,117.7
08년08월06일,117
08년08월07일,117.86
08년08월08일,113.33
08년08월11일,112.67
08년08월12일,111.15
08년08월13일,113.47
08년08월14일,112.64
08년08월15일,112.55
08년08월18일,111.94
08년08월19일,113.25
08년08월20일,114.36
08년08월21일,120.16
08년08월22일,113.92
08년08월25일,114.03
08년08월26일,114.63
08년08월27일,116.22
08년08월28일,114.17
08년08월29일,114.05
08년09월01일,109.41
08년09월02일,108.34
08년09월03일,108.06
08년09월04일,106.3
08년09월05일,104.09
08년09월08일,103.44
08년09월09일,100.34
08년09월10일,98.97
08년09월11일,97.64
08년09월12일,97.58
08년09월15일,92.38
08년09월16일,89.22
08년09월17일,94.84
08년09월18일,95.19
08년09월19일,99.61
08년09월22일,106.04
08년09월23일,103.08
08년09월24일,102.45
08년09월25일,104.6
08년09월26일,103.54
08년09월29일,93.98
08년09월30일,98.17
08년10월01일,95.33
08년10월02일,90.56
08년10월03일,90.25
08년10월06일,83.68
08년10월07일,84.66
08년10월08일,84.36
08년10월09일,82.66
08년10월10일,74.09
08년10월13일,77.46
08년10월14일,74.53
08년10월15일,70.8
08년10월16일,66.32
08년10월17일,69.6
08년10월20일,72.03
08년10월21일,69.72
08년10월22일,64.52
08년10월23일,65.92
