Date,세전가,정유사,대리점,주유소
2008-04-01,776.19,1591.07,1627.51,1698.31
2008-05-01,881.48,1706.89,1739.7,1803.35
2008-06-01,943.57,1775.19,1818.88,1906.8
2008-07-01,937.51,1768.53,1820.58,1922.59
2008-08-01,793.03,1609.59,1657.14,1785.08
2008-09-01,812.72,1631.26,1656.99,1716.24
2008-10-01,736.55,1547.17,1590.43,1687.38
2008-11-01,519.43,1308.26,1345.68,1513.86
2008-12-01,412.61,1190.77,1219.56,1328.5
2009-01-01,442.8,1306.91,1346.25,1351.87
2009-02-01,536.99,1410.51,1456.66,1486.33
2009-03-01,553.92,1429.14,1477.87,1530.48
2009-04-01,565.25,1441.61,1477.63,1551.46
2009-05-01,572.7,1450.5,1473.7,1542.68
2009-06-01,661.52,1548.62,1564.82,1607.34
2009-07-01,640.52,1525.52,1541.66,1638.75
2009-08-01,705.93,1597.48,1611.28,1670.68
2009-09-01,664.1,1551.46,1566.96,1680.97
2009-10-01,629.96,1513.91,1533.56,1627.49
2009-11-01,665.13,1552.62,1571.76,1655.28
2009-12-01,641.84,1527.02,1551.81,1646.45
2010-01-01,676.38,1565.01,1594.62,1661.15
2010-02-01,681.9,1571.09,1602.06,1663.6
2010-03-01,713.83,1606.21,1633.58,1691.23
2010-04-01,735.19,1629.71,1653.69,1724.53
2010-05-01,708.84,1600.72,1622.9,1732.36
2010-06-01,722.29,1615.52,1643.97,1714.87
2010-07-01,710.9,1602.99,1644.81,1722.36
2010-08-01,700.12,1591.13,1612.4,1715.79
2010-09-01,689.61,1579.57,1604.2,1700.31
2010-10-01,707.8,1599.58,1618.9,1699.57
2010-11-01,724.34,1617.77,1646.43,1716.22
2010-12-01,784.89,1684.38,1714.06,1771.07
2011-01-01,821.82,1725.0,1764.38,1825.35
2011-02-01,838.06,1742.86,1772.17,1850.03
2011-03-01,915.3,1827.83,1862.85,1939.0
2011-04-01,913.37,1825.7,1855.92,1951.21
2011-05-01,893.37,1803.7,1865.77,1938.45
2011-06-01,878.8,1787.68,1853.7,1915.35
2011-07-01,907.7,1819.47,1847.05,1934.65
2011-08-01,913.79,1826.17,1836.51,1945.16
2011-09-01,952.58,1868.83,1882.21,1944.4
2011-10-01,972.21,1890.43,1907.17,1978.34
2011-11-01,900.75,1811.82,1839.76,1981.02
2011-12-01,875.78,1784.35,1820.71,1943.0
2012-01-01,942.68,1857.94,1886.74,1955.08
2012-02-01,978.19,1897.01,1928.04,1986.54
2012-03-01,1027.38,1951.11,1980.97,2029.95
2012-04-01,1029.77,1953.74,1973.02,2058.68
2012-05-01,967.67,1885.43,1905.33,2035.76
2012-06-01,877.96,1786.75,1812.04,1968.78
2012-07-01,892.84,1803.12,1813.49,1901.38
2012-08-01,988.73,1908.6,1920.83,1971.31
2012-09-01,966.86,1884.54,1909.89,2024.45
2012-10-01,927.43,1841.17,1868.46,2005.73
2012-11-01,886.01,1795.61,1830.74,1955.99
2012-12-01,867.8,1775.58,1821.1,1935.58
2013-01-01,890.85,1800.93,1833.81,1924.55
2013-02-01,960.92,1878.01,1897.2,1952.49
2013-03-01,926.42,1840.06,1863.41,1986.49
2013-04-01,866.88,1774.56,1804.38,1949.39
2013-05-01,871.19,1779.31,1807.35,1899.89
2013-06-01,903.74,1815.11,1835.63,1901.97
2013-07-01,932.26,1846.48,1866.97,1933.09
2013-08-01,894.3,1804.73,1831.9,1947.65
2013-09-01,885.35,1794.88,1812.57,1934.56
2013-10-01,844.13,1749.54,1775.05,1903.16
