ds,y
2008-04-15,1734.58
2008-04-16,1749.97
2008-04-17,1744.71
2008-04-18,1748.01
2008-04-19,1748.87
2008-04-20,1747.04
2008-04-21,1748.01
2008-04-22,1752.54
2008-04-23,1759.26
2008-04-24,1775.11
2008-04-25,1779.23
2008-04-26,1785.94
2008-04-27,1774.39
2008-04-28,1780.08
2008-04-29,1780.7
2008-04-30,1783.94
2008-05-01,1796.89
2008-05-02,1801.57
2008-05-03,1804.62
2008-05-04,1802.16
2008-05-05,1801.8
2008-05-06,1801.72
2008-05-07,1802.51
2008-05-08,1803.94
2008-05-09,1805.51
2008-05-10,1806.33
2008-05-11,1807.12
2008-05-12,1807.49
2008-05-13,1809.41
2008-05-14,1817.13
2008-05-15,1841.5
2008-05-16,1848.73
2008-05-17,1850.42
2008-05-18,1850.81
2008-05-19,1851.08
2008-05-20,1854.41
2008-05-21,1865.44
2008-05-22,1899.2
2008-05-23,1905.9
2008-05-24,1907.69
2008-05-25,1908.09
2008-05-26,1908.62
2008-05-27,1912.01
2008-05-28,1922.47
2008-05-29,1949.95
2008-05-30,1955.89
2008-05-31,1956.55
2008-06-01,1957.44
2008-06-02,1957.61
2008-06-03,1957.57
2008-06-04,1957.08
2008-06-05,1955.84
2008-06-06,1956.47
2008-06-07,1956.1
2008-06-08,1955.91
2008-06-09,1955.3
2008-06-10,1955.94
2008-06-11,1955.08
2008-06-12,1953.75
2008-06-13,1953.26
2008-06-14,1952.53
2008-06-15,1953.02
2008-06-16,1952.21
2008-06-17,1953.56
2008-06-18,1957.22
2008-06-19,1965.22
2008-06-20,1966.91
2008-06-21,1968.08
2008-06-22,1967.75
2008-06-23,1966.83
2008-06-24,1967.58
2008-06-25,1967.22
2008-06-26,1970.57
2008-06-27,1971.34
2008-06-28,1972.12
2008-06-29,1971.93
2008-06-30,1970.7
2008-07-01,1971.99
2008-07-02,1976.05
2008-07-03,1984.79
2008-07-04,1988.62
2008-07-05,1990.12
2008-07-06,1990.88
2008-07-07,1989.72
2008-07-08,1992.76
2008-07-09,2000.69
2008-07-10,2022.15
2008-07-11,2025.91
2008-07-12,2027.45
2008-07-13,2027.79
2008-07-14,2027.56
2008-07-15,2027.62
2008-07-16,2025.08
2008-07-17,2018.76
2008-07-18,2016.79
2008-07-19,2015.51
2008-07-20,2015.51
2008-07-21,2015.17
2008-07-22,2012.8
2008-07-23,2004.12
2008-07-24,1972.14
2008-07-25,1964.47
2008-07-26,1961.65
2008-07-27,1961.72
2008-07-28,1960.74
2008-07-29,1959.97
2008-07-30,1950.04
2008-07-31,1919.07
2008-08-01,1905.2
2008-08-02,1903.33
2008-08-03,1901.73
2008-08-04,1901.26
2008-08-05,1899.34
2008-08-06,1893.36
2008-08-07,1872.01
2008-08-08,1866.18
2008-08-09,1863.79
2008-08-10,1863.78
2008-08-11,1861.55
2008-08-12,1860.31
2008-08-13,1854.3
2008-08-14,1834.9
2008-08-15,1828.71
2008-08-16,1827.69
2008-08-17,1826.15
2008-08-18,1823.99
2008-08-19,1822.65
2008-08-20,1819.36
2008-08-21,1807.73
2008-08-22,1804.71
2008-08-23,1803.57
2008-08-24,1802.91
2008-08-25,1802.28
2008-08-26,1801.44
2008-08-27,1802.05
2008-08-28,1805.61
2008-08-29,1806.15
2008-08-30,1805.67
2008-08-31,1805.77
2008-09-01,1804.26
2008-09-02,1803.43
2008-09-03,1807.97
2008-09-04,1819.08
2008-09-05,1821.87
2008-09-06,1822.62
2008-09-07,1823.94
2008-09-08,1823.23
2008-09-09,1823.97
2008-09-10,1822.69
2008-09-11,1824.91
2008-09-12,1825.22
2008-09-13,1824.9
2008-09-14,1823.39
2008-09-15,1823.85
2008-09-16,1824.46
2008-09-17,1820.53
2008-09-18,1794.83
2008-09-19,1788.77
2008-09-20,1785.44
2008-09-21,1785.08
2008-09-22,1783.77
2008-09-23,1783.32
2008-09-24,1782.17
2008-09-25,1781.21
2008-09-26,1782.14
2008-09-27,1781.3
2008-09-28,1780.89
2008-09-29,1779.87
2008-09-30,1781.74
2008-10-01,1787.94
2008-10-02,1806.74
2008-10-03,1810.27
2008-10-04,1810.47
2008-10-05,1810.62
2008-10-06,1810.34
2008-10-07,1810.18
2008-10-08,1804.12
2008-10-09,1779.14
2008-10-10,1772.86
2008-10-11,1769.83
2008-10-12,1770.18
2008-10-13,1769.71
2008-10-14,1770.01
2008-10-15,1773.11
2008-10-16,1776.71
2008-10-17,1778.26
2008-10-18,1777.57
2008-10-19,1777.78
2008-10-20,1775.51
2008-10-21,1775.41
2008-10-22,1762.23
2008-10-23,1707.53
2008-10-24,1680.79
2008-10-25,1675.26
2008-10-26,1674.76
2008-10-27,1670.29
2008-10-28,1668.26
2008-10-29,1663.16
2008-10-30,1641.01
2008-10-31,1635.04
2008-11-01,1630.48
2008-11-02,1631.36
2008-11-03,1629.84
2008-11-04,1627.28
2008-11-05,1623.61
2008-11-06,1603.33
2008-11-07,1588.06
2008-11-08,1582.08
2008-11-09,1581.02
2008-11-10,1578.6
2008-11-11,1577.35
2008-11-12,1568.91
2008-11-13,1546.62
2008-11-14,1526.6
2008-11-15,1517.89
2008-11-16,1523.13
2008-11-17,1513.99
2008-11-18,1512.28
2008-11-19,1506.76
2008-11-20,1486.87
2008-11-21,1474.08
2008-11-22,1465.28
2008-11-23,1464.44
2008-11-24,1462.64
2008-11-25,1458.63
2008-11-26,1452.59
2008-11-27,1437.06
2008-11-28,1426.42
2008-11-29,1420.23
2008-11-30,1420.15
2008-12-01,1417.54
2008-12-02,1415.74
2008-12-03,1416.0
2008-12-04,1420.54
2008-12-05,1420.16
2008-12-06,1420.2
2008-12-07,1419.99
2008-12-08,1418.84
2008-12-09,1419.03
2008-12-10,1414.3
2008-12-11,1390.65
2008-12-12,1369.58
2008-12-13,1360.98
2008-12-14,1358.95
2008-12-15,1356.36
2008-12-16,1354.26
2008-12-17,1352.54
2008-12-18,1353.98
2008-12-19,1351.84
2008-12-20,1350.46
2008-12-21,1350.77
2008-12-22,1349.29
2008-12-23,1348.92
2008-12-24,1348.94
2008-12-25,1351.24
2008-12-26,1351.82
2008-12-27,1351.46
2008-12-28,1351.95
2008-12-29,1351.27
2008-12-30,1352.01
2008-12-31,1352.75
2009-01-01,1372.95
2009-01-02,1373.76
2009-01-03,1376.02
2009-01-04,1376.68
2009-01-05,1377.1
2009-01-06,1377.69
2009-01-07,1382.87
2009-01-08,1402.98
2009-01-09,1406.67
2009-01-10,1408.69
2009-01-11,1410.32
2009-01-12,1410.45
2009-01-13,1410.22
2009-01-14,1417.33
2009-01-15,1436.34
2009-01-16,1443.81
2009-01-17,1445.4
2009-01-18,1447.16
2009-01-19,1448.33
2009-01-20,1449.9
2009-01-21,1456.3
2009-01-22,1488.87
2009-01-23,1500.57
2009-01-24,1503.66
2009-01-25,1505.12
2009-01-26,1504.05
