Date,Dubai,Brent,WTI
2008-04-15,637.86,684.94,700.2
2008-04-16,650.86,697.28,711.33
2008-04-17,664.1,701.8,716.97
2008-04-18,658.2,708.52,725.75
2008-04-19,658.2,708.52,725.75
2008-04-20,658.2,708.52,725.75
2008-04-21,679.26,719.97,739.16
2008-04-22,676.21,724.65,746.02
2008-04-23,683.52,728.57,740.08
2008-04-24,686.98,716.89,727.67
2008-04-25,674.8,726.64,740.26
2008-04-26,674.8,726.64,740.26
2008-04-27,674.8,726.64,740.26
2008-04-28,687.76,730.1,742.67
2008-04-29,684.01,710.97,724.76
2008-04-30,671.5,700.23,713.44
2008-05-01,671.5,694.82,707.53
2008-05-02,661.27,722.44,733.54
2008-05-03,661.27,722.44,733.54
2008-05-04,661.27,722.44,733.54
2008-05-05,692.24,744.07,756.56
2008-05-06,717.25,761.96,771.65
2008-05-07,732.41,779.31,787.01
2008-05-08,748.03,788.88,794.34
2008-05-09,776.77,822.83,826.5
2008-05-10,776.77,822.83,826.5
2008-05-11,776.77,822.83,826.5
2008-05-12,788.71,806.49,815.15
2008-05-13,776.73,817.58,828.78
2008-05-14,783.91,800.06,815.55
2008-05-15,784.64,798.88,817.79
2008-05-16,781.84,825.01,833.59
2008-05-17,781.84,825.01,833.59
2008-05-18,781.84,825.01,833.59
2008-05-19,781.84,819.81,832.86
2008-05-20,787.52,836.18,844.23
2008-05-21,811.61,870.73,873.81
2008-05-22,849.82,859.97,861.95
2008-05-23,829.57,863.23,867.3
2008-05-24,829.57,863.23,867.3
2008-05-25,829.57,863.23,867.3
2008-05-26,830.93,869.56,867.3
2008-05-27,834.29,846.36,849.92
2008-05-28,794.14,860.6,861.25
2008-05-29,808.83,828.22,826.45
2008-05-30,778.55,828.96,826.17
2008-05-31,778.55,828.96,826.17
2008-06-01,778.55,828.96,826.17
2008-06-02,781.27,826.73,825.05
2008-06-03,789.5,804.67,802.93
2008-06-04,760.86,780.75,782.02
2008-06-05,752.66,814.41,816.0
2008-06-06,783.88,879.22,884.65
2008-06-07,783.88,879.22,884.65
2008-06-08,783.88,879.22,884.65
2008-06-09,840.65,861.23,864.06
2008-06-10,826.09,847.84,849.71
2008-06-11,825.77,873.72,882.52
2008-06-12,841.04,879.36,883.56
2008-06-13,848.81,869.67,873.62
2008-06-14,848.81,869.67,873.62
2008-06-15,848.81,869.67,873.62
2008-06-16,837.65,876.63,875.98
2008-06-17,847.91,875.4,877.3
2008-06-18,832.01,884.11,885.67
2008-06-19,840.16,849.03,848.58
2008-06-20,820.49,870.65,869.1
2008-06-21,820.49,870.65,869.1
2008-06-22,820.49,870.65,869.1
2008-06-23,839.97,877.69,883.05
2008-06-24,850.72,886.99,890.5
2008-06-25,851.1,874.07,875.5
2008-06-26,835.96,910.3,909.06
2008-06-27,879.83,913.43,912.77
2008-06-28,879.83,913.43,912.77
2008-06-29,879.83,913.43,912.77
2008-06-30,893.6,917.69,918.8
2008-07-01,896.66,923.64,925.61
2008-07-02,899.32,948.85,944.31
2008-07-03,924.1,962.11,956.9
2008-07-04,918.27,942.54,956.9
2008-07-05,918.27,942.54,956.9
2008-07-06,918.27,942.54,956.9
2008-07-07,915.32,934.82,931.53
2008-07-08,900.39,893.32,890.76
2008-07-09,870.54,886.31,882.87
2008-07-10,847.64,906.49,904.06
2008-07-11,874.66,909.01,912.72
2008-07-12,874.66,909.01,912.72
2008-07-13,874.66,909.01,912.72
2008-07-14,876.11,907.05,915.0
2008-07-15,885.23,875.95,875.89
2008-07-16,848.47,862.02,851.95
2008-07-17,830.75,830.68,819.4
2008-07-18,814.03,826.99,818.67
2008-07-19,814.03,826.99,818.67
2008-07-20,814.03,826.99,818.67
2008-07-21,813.34,844.61,834.61
2008-07-22,824.28,827.73,817.51
2008-07-23,790.91,801.85,796.41
2008-07-24,771.21,805.95,799.9
2008-07-25,778.0,790.19,782.19
2008-07-26,778.0,790.19,782.19
2008-07-27,778.0,790.19,782.19
2008-07-28,768.79,797.7,790.66
2008-07-29,775.48,776.62,773.33
2008-07-30,762.08,807.44,805.34
2008-07-31,782.33,786.45,787.08
2008-08-01,766.01,790.06,795.92
2008-08-02,766.01,790.06,795.92
2008-08-03,766.01,790.06,795.92
2008-08-04,781.21,769.54,774.2
2008-08-05,750.4,752.83,762.24
2008-08-06,742.95,748.65,758.76
2008-08-07,737.19,753.56,767.37
2008-08-08,729.26,723.95,735.9
2008-08-09,729.26,723.95,735.9
2008-08-10,729.26,723.95,735.9
2008-08-11,728.67,725.2,736.65
2008-08-12,716.96,722.61,734.71
2008-08-13,712.98,737.55,754.0
2008-08-14,730.44,735.28,750.75
2008-08-15,705.57,734.69,742.65
2008-08-16,705.57,734.69,742.65
2008-08-17,705.57,734.69,742.65
2008-08-18,715.78,731.2,737.27
2008-08-19,708.6,743.53,751.93
2008-08-20,729.37,753.48,757.57
2008-08-21,740.64,792.9,799.63
2008-08-22,772.1,753.45,757.88
2008-08-23,772.1,753.45,757.88
2008-08-24,772.1,753.45,757.88
2008-08-25,738.48,756.33,763.49
2008-08-26,746.05,773.79,784.86
2008-08-27,761.84,793.95,807.14
2008-08-28,766.06,779.23,788.92
2008-08-29,755.49,776.04,785.64
2008-08-30,755.49,776.04,785.64
2008-08-31,755.49,776.04,785.64
2008-09-01,763.3,748.05,785.64
2008-09-02,708.48,755.11,764.66
2008-09-03,726.01,759.69,768.75
2008-09-04,758.75,769.98,781.5
2008-09-05,723.84,743.56,758.85
2008-09-06,723.84,743.56,758.85
2008-09-07,723.84,743.56,758.85
2008-09-08,721.52,732.93,753.48
2008-09-09,680.02,689.57,709.64
2008-09-10,678.11,685.38,710.38
2008-09-11,655.39,669.23,691.37
2008-09-12,664.08,678.83,703.87
2008-09-13,664.08,678.83,703.87
2008-09-14,664.08,678.83,703.87
2008-09-15,642.44,642.65,665.82
2008-09-16,603.63,622.18,635.64
2008-09-17,630.92,686.43,703.22
2008-09-18,630.43,679.09,698.28
2008-09-19,648.27,718.45,754.08
2008-09-20,648.27,718.45,754.08
2008-09-21,648.27,718.45,754.08
2008-09-22,679.22,757.36,863.63
2008-09-23,690.57,736.28,761.5
2008-09-24,702.8,741.45,765.18
2008-09-25,691.1,759.18,784.0
2008-09-26,699.53,756.37,780.84
2008-09-27,699.53,756.37,780.84
2008-09-28,699.53,756.37,780.84
2008-09-29,685.17,684.23,701.63
2008-09-30,656.96,733.38,751.83
2008-10-01,656.96,728.41,752.86
2008-10-02,670.88,678.52,704.07
2008-10-03,639.94,676.2,703.4
2008-10-04,639.94,676.2,703.4
2008-10-05,639.94,676.2,703.4
2008-10-06,610.92,637.03,668.47
2008-10-07,619.02,671.96,714.83
2008-10-08,625.94,708.21,746.75
2008-10-09,660.86,713.7,747.63
2008-10-10,643.21,661.89,694.14
2008-10-11,643.21,661.89,694.14
2008-10-12,643.21,661.89,694.14
2008-10-13,612.46,668.85,701.06
2008-10-14,580.87,587.01,619.31
2008-10-15,519.86,536.62,564.96
2008-10-16,481.42,515.72,543.17
2008-10-17,512.04,581.28,600.07
2008-10-18,512.04,581.28,600.07
2008-10-19,512.04,581.28,600.07
2008-10-20,528.45,605.83,624.51
2008-10-21,521.55,572.37,581.98
2008-10-22,498.05,537.27,555.84
2008-10-23,502.75,566.13,582.62
2008-10-24,502.34,551.98,570.66
2008-10-25,502.34,551.98,570.66
2008-10-26,502.34,551.98,570.66
2008-10-27,502.34,552.2,568.48
2008-10-28,494.88,543.08,565.06
2008-10-29,515.38,608.84,627.72
2008-10-30,538.88,566.91,586.93
2008-10-31,452.76,530.58,550.8
2008-11-01,452.76,530.58,550.8
2008-11-02,452.76,530.58,550.8
2008-11-03,485.5,485.82,513.38
2008-11-04,445.75,536.42,569.44
2008-11-05,478.47,498.7,526.35
2008-11-06,447.56,457.28,483.87
2008-11-07,446.83,476.23,506.87
2008-11-08,446.83,476.23,506.87
2008-11-09,446.83,476.23,506.87
2008-11-10,469.96,497.77,525.82
2008-11-11,439.71,464.12,494.27
2008-11-12,431.07,440.41,472.28
2008-11-13,400.96,440.25,493.18
2008-11-14,434.08,475.55,500.1
2008-11-15,434.08,475.55,500.1
2008-11-16,434.08,475.55,500.1
2008-11-17,419.11,457.51,480.6
2008-11-18,413.81,459.66,482.27
2008-11-19,411.37,463.64,480.67
2008-11-20,409.13,438.2,452.24
2008-11-21,401.72,460.51,467.44
2008-11-22,401.72,460.51,467.44
2008-11-23,401.72,460.51,467.44
2008-11-24,406.42,511.87,517.28
2008-11-25,434.73,474.5,478.46
2008-11-26,413.94,505.2,510.07
2008-11-27,442.7,497.9,510.07
2008-11-28,444.01,498.85,507.61
2008-11-29,444.01,498.85,507.61
2008-11-30,444.01,498.85,507.61
2008-12-01,436.18,441.51,453.57
2008-12-02,391.16,417.63,431.6
2008-12-03,384.25,417.11,429.51
2008-12-04,376.7,389.22,402.02
2008-12-05,360.55,368.24,378.15
2008-12-06,360.55,368.24,378.15
2008-12-07,360.55,368.24,378.15
2008-12-08,360.55,404.61,407.31
2008-12-09,364.05,380.54,385.49
2008-12-10,357.01,385.37,395.55
2008-12-11,354.08,422.88,428.15
2008-12-12,361.19,394.14,393.04
2008-12-13,361.19,394.14,393.04
2008-12-14,361.19,394.14,393.04
2008-12-15,374.68,381.35,380.58
2008-12-16,361.52,378.6,370.44
2008-12-17,372.14,388.7,342.0
2008-12-18,353.27,360.85,301.43
2008-12-19,329.94,358.81,276.2
2008-12-20,329.94,358.81,276.2
2008-12-21,329.94,358.81,276.2
2008-12-22,328.1,336.3,323.8
2008-12-23,304.79,329.18,317.92
2008-12-24,309.38,307.11,296.54
2008-12-25,309.38,307.11,296.54
2008-12-26,309.38,318.33,312.85
2008-12-27,309.38,318.33,312.85
2008-12-28,309.38,318.33,312.85
2008-12-29,297.97,327.97,323.69
2008-12-30,296.21,323.7,314.67
2008-12-31,288.3,360.59,352.76
2009-01-01,288.3,360.59,352.76
2009-01-02,339.16,371.03,366.53
2009-01-03,339.16,371.03,366.53
2009-01-04,339.16,371.03,366.53
